id,layer,min_m,max_m,cells,area_km2
431,3,15,20,8,22.310736740446686
1250,9,45,50,8,22.29790066230654
877,6,30,35,8,22.277451662773526
227,2,10,15,8,22.238791194549567
559,4,20,25,8,22.222350439668627
1445,11,55,60,8,22.205298004340612
1007,7,35,40,8,22.18527485843436
1236,9,45,50,8,22.149859149820895
1229,9,45,50,8,22.126781399654963
1522,12,60,65,8,22.1095925141491
4770,66,330,335,8,22.032831826984957
293,2,10,15,7,19.597414718037953
1645,13,65,70,7,19.58003780880412
149,1,5,10,7,19.56785418490461
1032,7,35,40,7,19.548101266529525
1255,9,45,50,7,19.54344744486073
430,3,15,20,7,19.524809485011787
1351,10,50,55,7,19.50029507004845
406,3,15,20,7,19.49678930471666
122,1,5,10,7,19.491526532392754
723,5,25,30,7,19.456961663568034
562,4,20,25,7,19.448741521183265
97,1,5,10,7,19.422278960487553
1537,12,60,65,7,19.417566029874138
857,6,30,35,7,19.396338132855774
1336,10,50,55,7,19.37388299828376
1941,17,85,90,7,19.37151551493631
1121,8,40,45,7,19.37033165626732
1426,11,55,60,7,19.34782102264662
1681,14,70,75,7,19.337734359280155
1837,16,80,85,7,19.328826180689006
2000,18,90,95,7,19.32347800225222
183,1,5,10,6,16.946101456223136
3940,49,245,250,6,16.841406445309403
156,1,5,10,6,16.812569226196988
294,2,10,15,6,16.79869390011477
455,3,15,20,6,16.796956256177808
1158,8,40,45,6,16.767388387042047
760,5,25,30,6,16.76273905569018
143,1,5,10,6,16.751109819558692
1028,7,35,40,6,16.744125425490793
601,4,20,25,6,16.732469735402823
1453,11,55,60,6,16.732469499462727
592,4,20,25,6,16.726052993530015
1790,15,75,80,6,16.724300228284747
730,5,25,30,6,16.709111409405867
1143,8,40,45,6,16.70735675918164
402,3,15,20,6,16.700336509559463
570,4,20,25,6,16.690966128030794
1697,14,70,75,6,16.63571488921101
1617,13,65,70,6,16.606775717165227
695,5,25,30,6,16.60559373188022
1777,15,75,80,6,16.599083679625316
1117,8,40,45,6,16.59197631397291
1678,14,70,75,6,16.574183102303056
86,1,5,10,6,16.563490484007776
2001,18,90,95,6,16.56230148079338
2456,24,120,125,6,16.550999879117366
2728,28,140,145,6,16.53789493339917
4859,68,340,345,6,16.537299497838358
4817,67,335,340,6,16.5331263174675
2909,31,155,160,6,16.52417542857512
3100,34,170,175,6,16.519996653451066
488,3,15,20,5,14.068486365512523
61,0,0,5,5,14.063328278244647
476,3,15,20,5,14.024807028440721
462,3,15,20,5,14.006333545494194
153,1,5,10,5,13.996499926159228
619,4,20,25,5,13.991867156908485
1267,9,45,50,5,13.990129749992738
1549,12,60,65,5,13.982013644010099
286,2,10,15,5,13.979111891005335
1362,10,50,55,5,13.973306729658692
144,1,5,10,5,13.962846089407769
609,4,20,25,5,13.957609978997082
891,6,30,35,5,13.947708709963297
1543,12,60,65,5,13.943627259416711
133,1,5,10,5,13.942461265489221
744,5,25,30,5,13.940710858924858
2035,18,90,95,5,13.940127625969076
1635,13,65,70,5,13.939544157106482
883,6,30,35,5,13.933123169264425
735,5,25,30,5,13.929617403942132
1018,7,35,40,5,13.923188164095
878,6,30,35,5,13.920263511455179
244,2,10,15,5,13.919093037898744
243,2,10,15,5,13.918508154482138
873,6,30,35,5,13.900344742955792
872,6,30,35,5,13.894474959395003
871,6,30,35,5,13.893301190778033
564,4,20,25,5,13.892713953733372
8009,151,755,760,5,13.8844881690263
1134,8,40,45,5,13.86447112811527
370,3,15,20,5,13.859753973509504
540,4,20,25,5,13.856212941153204
538,4,20,25,5,13.847947015606396
