layer,min_m,components,area_km2
187,935,36,102.45022852482057
188,940,26,72.1126571661324
189,945,38,110.94396788403449
190,950,40,113.60733523830758
191,955,35,102.65501546451083
192,960,45,133.25056294127478
193,965,35,102.60216104559959
194,970,39,113.72140692958271
195,975,36,105.40162427292044
196,980,33,91.53339890107434
197,985,30,85.9419120999318
198,990,43,124.88395219376953
199,995,28,77.7079118512578
200,1000,36,110.86925898465351
201,1005,33,99.9417193798559
202,1010,41,119.19040429782389
203,1015,35,105.44482061686828
204,1020,32,91.39976651670415
205,1025,31,88.92271823441126
206,1030,33,97.04553607489652
207,1035,35,96.93542861186344
208,1040,34,94.47447250917952
209,1045,27,77.68088337979877
210,1050,27,74.8433237756613
211,1055,30,86.13490809393252
212,1060,19,63.677697599667745
213,1065,36,99.80276939314133
214,1070,23,66.66838614232995
215,1075,38,108.11070297727727
216,1080,29,83.22254172926557
217,1085,30,86.05807027427073
218,1090,35,102.57881192930068
219,1095,34,94.1938957802607
220,1100,23,66.45688734683844
221,1105,33,94.29322562472484
222,1110,29,83.11395901167059
223,1115,26,74.92611171708543
224,1120,38,110.79781733374057
225,1125,25,69.30564522289133
226,1130,24,72.16634948550069
227,1135,20,55.4454634109108
228,1140,29,83.32823180458125
229,1145,35,97.07255563225496
230,1150,18,49.980299112115325
231,1155,37,102.56360802219922
232,1160,31,88.75240171288483
233,1165,27,77.57262183176688
234,1170,18,49.77973697199307
235,1175,27,74.82565452371685
236,1180,19,52.74052472831934
237,1185,36,99.75546313897668
238,1190,30,88.88359031896219
239,1195,33,94.17287523193936
240,1200,27,77.43644559988925
241,1205,7,19.44851352285406
242,1210,25,69.2252068763437
243,1215,22,60.95033932064477
244,1220,26,74.75839723645296
245,1225,30,88.61796977382824
246,1230,25,72.15386554286835
247,1235,32,94.19176113306186
248,1240,22,66.52776852620947
249,1245,19,52.70696851436555
250,1250,27,77.65516160329962
251,1255,26,74.8515513225158
252,1260,30,83.30551865005911
253,1265,19,58.24268847898643
254,1270,21,63.80476596509529
255,1275,26,72.01752776636205
256,1280,26,74.7565752015166
257,1285,20,58.300413040567584
258,1290,16,44.335677140210635
259,1295,22,61.084013886763046
260,1300,28,77.55632548298954
261,1305,25,69.22501439180895
262,1310,17,47.080657408636284
263,1315,23,66.54531695190815
264,1320,20,55.50017781473487
265,1325,23,66.51531031042177
266,1330,19,52.64477724897381
267,1335,22,63.71697789304581
268,1340,30,83.14940089236464
269,1345,22,66.57409535458393
270,1350,17,47.04880752332327
271,1355,11,30.595958764976924
272,1360,21,58.15496781470123
273,1365,20,58.23841791959117
274,1370,28,83.17353504737757
275,1375,15,41.572696698668636
276,1380,19,55.32255229663969
277,1385,23,63.814116617010114
278,1390,17,47.04485087661101
279,1395,20,55.2841506144118
280,1400,33,97.1154774504971
281,1405,23,69.2472286122644
282,1410,28,80.47076268740705
283,1415,29,83.10007703032906
284,1420,17,47.16517214326597
285,1425,16,44.3364993881411
286,1430,11,30.420927026238125
287,1435,19,55.60856338190873
288,1440,24,66.53196291990044
289,1445,20,55.34761929336018
290,1450,27,80.21677160799405
291,1455,20,63.75007029676629
292,1460,23,63.6576576403126
293,1465,19,52.54883728388736
294,1470,20,58.052860073271944
295,1475,13,36.05134235812055
296,1480,26,72.05415940118499
297,1485,22,63.790450539943514
298,1490,14,38.708602714441234
299,1495,16,44.26961694415772
300,1500,16,49.67349494834902
301,1505,11,30.367497929067255
