layer,min_m,components,area_km2
0,0,120,1918.9813474265752
1,5,171,1574.5062408031297
2,10,224,1642.1884982327877
3,15,243,1566.3727030223113
4,20,230,1527.2862255115388
5,25,227,1440.8890548874535
6,30,195,1129.7886507756757
7,35,162,957.435124199967
8,40,146,671.3365218813336
9,45,127,565.9541196694321
10,50,124,468.3862435012002
11,55,119,454.22130941979697
12,60,107,417.6665559592451
13,65,94,350.417842048394
14,70,105,448.51624356078776
15,75,87,336.8471174381112
16,80,101,347.6937997005312
17,85,94,342.2611786383101
18,90,88,295.1854619537635
19,95,83,297.7684680090335
20,100,80,284.11159235437844
21,105,92,297.9390897692156
22,110,83,264.7044750756602
23,115,76,245.09502327328804
24,120,82,266.9628864623471
25,125,73,231.06329760988015
26,130,82,272.1855194662965
27,135,73,230.35443591313967
28,140,60,199.7485299173379
29,145,81,249.91714926132303
30,150,59,180.57856017870796
31,155,74,225.28963665272707
32,160,76,241.8787581896612
33,165,65,202.65785011627662
34,170,51,160.90560818017252
35,175,70,216.7132780246651
36,180,58,177.8294428935018
37,185,63,191.66062363021163
38,190,67,202.7198650177
39,195,58,188.66600728131584
40,200,56,180.64268120819526
41,205,57,177.55830603983935
42,210,47,133.49507537036254
43,215,53,164.04029542452747
44,220,61,186.0429346698337
45,225,53,163.519976230836
46,230,60,183.51475423590404
47,235,51,144.26965823840922
48,240,57,178.01503888098148
49,245,52,169.44945450287386
50,250,61,205.3007266679759
51,255,57,169.0113458154547
52,260,54,171.95610413558248
53,265,41,127.6437597638631
54,270,62,177.42770574829916
55,275,47,133.0743109253178
56,280,58,174.7566549755861
57,285,56,169.47226283975127
58,290,47,135.9394852402053
59,295,60,169.39480889599972
60,300,56,161.3456058141313
61,305,48,133.2508988144425
62,310,46,143.8921915145602
63,315,50,144.11065691785075
64,320,53,166.6357036286379
65,325,55,158.02551299505623
66,330,42,138.74512677908555
67,335,47,146.8709633293323
68,340,47,149.85705356477197
69,345,46,144.30878703345797
70,350,46,149.43507831622847
71,355,45,155.29830282194166
72,360,49,144.34792644050256
73,365,40,113.68560858530452
74,370,44,122.20089711950537
75,375,52,158.27807125144327
76,380,44,130.273484658664
77,385,53,152.4366954359404
78,390,47,133.5056878133332
79,395,38,113.83776163864023
80,400,28,80.44871404608433
81,405,39,113.64542221044512
82,410,43,130.5675078078324
83,415,38,105.63302561606821
84,420,37,105.72467217999116
85,425,37,102.81357412982733
86,430,42,130.3449979789354
87,435,41,116.70941690727997
88,440,29,80.50353400076484
89,445,46,138.98686906091183
90,450,35,100.15885333078049
91,455,40,113.67236825189798
92,460,35,102.5583364011856
