id,layer,min_m,max_m,cells,area_km2
35,0,0,5,244,680.3278111992086
319,2,10,15,155,430.0452132185718
148,1,5,10,139,386.376967833457
37,0,0,5,113,314.40738586573787
542,3,15,20,87,241.19826153571213
57,0,0,5,78,217.97000645753022
817,4,20,25,70,194.42507689821883
785,4,20,25,51,141.3167824629645
161,1,5,10,42,116.8443459080243
210,1,5,10,41,114.37515181578004
550,3,15,20,38,105.39565501358283
1475,7,35,40,36,100.3417097760593
1015,5,25,30,35,96.9639449436237
1026,5,25,30,35,96.9627887467173
42,0,0,5,34,94.62664418931116
1023,5,25,30,31,85.87959465384394
339,2,10,15,30,83.37095289117224
232,1,5,10,29,81.12057892710018
332,2,10,15,28,77.76381948913547
1442,7,35,40,24,66.46671224711544
547,3,15,20,23,63.78044174851999
808,4,20,25,23,63.766897702611104
1011,5,25,30,23,63.647574906406874
1037,5,25,30,22,61.02394278967737
1230,6,30,35,22,60.854421096862865
357,2,10,15,21,58.42423628916907
1241,6,30,35,21,58.1766131655461
1642,8,40,45,20,55.800155945691586
1638,8,40,45,20,55.78265919484265
604,3,15,20,20,55.64123181015541
157,1,5,10,20,55.59608348872001
1238,6,30,35,19,52.60458516206264
1239,6,30,35,19,52.60221955220823
61,0,0,5,18,50.313775011602694
888,4,20,25,18,50.199738598232685
1082,5,25,30,17,47.3677104681783
873,4,20,25,17,47.35778017748272
65,0,0,5,16,44.781848051877105
1254,6,30,35,16,44.381152871665684
1433,7,35,40,16,44.2713223177876
869,4,20,25,15,41.787682444706455
342,2,10,15,15,41.68459794145424
821,4,20,25,15,41.621102085318185
1438,7,35,40,15,41.51132006193696
244,1,5,10,14,39.215651786844695
183,1,5,10,14,38.98831442346448
170,1,5,10,14,38.94382890059097
1227,6,30,35,14,38.67843491688944
227,1,5,10,13,36.327112508366554
580,3,15,20,13,36.10860102504485
599,3,15,20,12,33.36845026873661
798,4,20,25,12,33.25019132369357
2209,13,65,70,12,33.155489475450764
353,2,10,15,11,30.587208445421343
591,3,15,20,11,30.570781566069513
1031,5,25,30,11,30.481307547834774
543,3,15,20,11,30.458272904234533
1115,5,25,30,10,27.90765091336087
51,0,0,5,10,27.87325291798382
375,2,10,15,10,27.829992054586654
1047,5,25,30,10,27.743674154439145
804,4,20,25,10,27.714787273998894
1021,5,25,30,10,27.69884430644528
