id,layer,min_m,max_m,cells,area_km2
1005,5,25,30,10,27.63965935570685
70,0,0,5,9,25.21509901519532
4858,50,250,255,9,25.129284201973704
1103,5,25,30,9,25.09957945250938
484,2,10,15,8,22.485489548372993
2347,14,70,75,8,22.369481724958032
1302,6,30,35,8,22.30607111309501
584,3,15,20,8,22.224701033265912
1613,8,40,45,8,22.156359832655312
1745,9,45,50,8,22.149859149820895
1232,6,30,35,8,22.146900439439033
2314,14,70,75,8,22.142762788901496
2112,12,60,65,8,22.14039671064866
1732,9,45,50,8,22.12678116566784
1428,7,35,40,8,22.098317080301655
5680,66,330,335,8,22.032831826984957
106,0,0,5,7,19.73247762041874
88,0,0,5,7,19.658569644697884
450,2,10,15,7,19.597414718037953
1765,9,45,50,7,19.525975242895615
417,2,10,15,7,19.52481019315747
1300,6,30,35,7,19.5183936872906
1473,7,35,40,7,19.495620716248315
350,2,10,15,7,19.458135667428195
1452,7,35,40,7,19.39928864145013
1247,6,30,35,7,19.396338132855774
1995,11,55,60,7,19.37506592034046
1869,10,50,55,7,19.37388299828376
2613,17,85,90,7,19.37151551493631
1596,8,40,45,7,19.364413065244733
1859,10,50,55,7,19.353749442845686
2101,12,60,65,7,19.3454486253927
2300,14,70,75,7,19.337734359280155
4276,40,200,205,7,19.257889882867257
281,1,5,10,6,16.91134953358085
248,1,5,10,6,16.81257041173609
454,2,10,15,6,16.79869390011477
1497,7,35,40,6,16.756346402464175
1487,7,35,40,6,16.744125425490793
656,3,15,20,6,16.73421896221546
900,4,20,25,6,16.732469735402823
1891,10,50,55,6,16.730136567739088
1482,7,35,40,6,16.72896939411149
588,3,15,20,6,16.674544660452824
839,4,20,25,6,16.67160871051698
834,4,20,25,6,16.665147222680893
1057,5,25,30,6,16.66338433620275
331,2,10,15,6,16.652797383898665
147,1,5,10,6,16.648677325894273
1456,7,35,40,6,16.638662348306163
1604,8,40,45,6,16.604409873116325
1013,5,25,30,6,16.603226951012434
2420,15,75,80,6,16.599083679625316
1593,8,40,45,6,16.59197631397291
1733,9,45,50,6,16.591976079981073
2683,18,90,95,6,16.563490717593787
5907,71,355,360,6,16.543854187150995
5727,67,335,340,6,16.5331263174675
739,3,15,20,5,14.068486365512523
1651,8,40,45,5,13.973307675552627
223,1,5,10,5,13.962846089407769
1316,6,30,35,5,13.959937480447309
1771,9,45,50,5,13.958774084095152
909,4,20,25,5,13.957609978997082
1485,7,35,40,5,13.952369852985306
2021,11,55,60,5,13.944793961225574
1763,9,45,50,5,13.93545893156781
1890,10,50,55,5,13.931370640209618
1472,7,35,40,5,13.923188164095
1281,6,30,35,5,13.922018397301617
380,2,10,15,5,13.919093037898744
379,2,10,15,5,13.918508154482138
1274,6,30,35,5,13.900344742955792
1064,5,25,30,5,13.897410909430468
9014,151,755,760,5,13.8844881690263
2322,14,70,75,5,13.863882011654374
800,4,20,25,5,13.856212941153204
787,4,20,25,5,13.839079316941277
1016,5,25,30,5,13.838487855912927
12,0,0,5,5,13.83493721632372
1602,8,40,45,5,13.834345521100875
1231,6,30,35,5,13.832569733023456
2609,17,85,90,5,13.827831723295523
1731,9,45,50,5,13.823683770897906
1982,11,55,60,5,13.820719443767853
2102,12,60,65,5,13.818347046513928
2297,14,70,75,5,13.811225646013137
2404,15,75,80,5,13.808850443269108
128,1,5,10,5,13.802314429725666
5773,68,340,345,5,13.782076629177832
3638,30,150,155,5,13.779095952622374
5472,62,310,315,5,13.736644080451292
3,0,0,5,5,13.731846825677266
100,0,0,5,4,11.251350748408301
3889,33,165,170,4,11.213962049299752
72,0,0,5,4,11.207609883902899
1801,9,45,50,4,11.206454298016379
246,1,5,10,4,11.20645406095453
2897,20,100,105,4,11.205876268016048
1350,6,30,35,4,11.201828872961226
1796,9,45,50,4,11.200093361071161
1348,6,30,35,4,11.198357612210637
242,1,5,10,4,11.196621152660445
1789,9,45,50,4,11.192567361072788
2265,13,65,70,4,11.190249555689332
2149,12,60,65,4,11.186191029234152
439,2,10,15,4,11.184450308600248
2634,17,85,90,4,11.177484114873213
1488,7,35,40,4,11.165273062431439
1310,6,30,35,4,11.164108721171932
1117,5,25,30,4,11.163526668620516
906,4,20,25,4,11.162944143773073
1484,7,35,40,4,11.158866469907764
2439,15,75,80,4,11.15770094804856
663,3,15,20,4,11.157700712014421
2137,12,60,65,4,11.155951721184312
660,3,15,20,4,11.155368724215812
2335,14,70,75,4,11.15420249432006
657,3,15,20,4,11.153036028432266
897,4,20,25,4,11.151285621806451
2721,18,90,95,4,11.151285385923057
887,4,20,25,4,11.15011844818836
1762,9,45,50,4,11.147783393335411
1297,6,30,35,4,11.147199452744204
1086,5,25,30,4,11.141356982001632
628,3,15,20,4,11.140187922099624
186,1,5,10,4,11.138433743099
390,2,10,15,4,11.13726397626105
1283,6,30,35,4,11.136678857257305
3462,27,135,140,4,11.133753026718335
1278,6,30,35,4,11.12906901304952
603,3,15,20,4,11.12320816938032
1625,8,40,45,4,11.120275747322633
840,4,20,25,4,11.113231724807916
2325,14,70,75,4,11.104414942722505
828,4,20,25,4,11.09911853031463
565,3,15,20,4,11.095584771095673
1458,7,35,40,4,11.09440630367577
1255,6,30,35,4,11.091459313802767
9665,170,850,855,4,11.080838327946859
796,4,20,25,4,11.077885005966126
790,4,20,25,4,11.074338582412663
1236,6,30,35,4,11.069015199082571
1598,8,40,45,4,11.064871459519868
1734,9,45,50,4,11.06190994013981
3047,22,110,115,4,11.061317542653322
1229,6,30,35,4,11.058353917344633
1981,11,55,60,4,11.05657555501617
2099,12,60,65,4,11.05420315775753
2210,13,65,70,4,11.051829825154968
2492,16,80,85,4,11.044109949100193
3426,27,135,140,4,11.028640533770094
3490,28,140,145,4,11.01014472196905
4216,39,195,200,4,10.991593710492436
985,4,20,25,3,8.478731641053013
285,1,5,10,3,8.471345318770439
749,3,15,20,3,8.46906984665639
108,0,0,5,3,8.465654249889663
283,1,5,10,3,8.46280573039947
3328,25,125,130,3,8.458243803059101
2474,15,75,80,3,8.456532066236308
974,4,20,25,3,8.45653182772641
741,3,15,20,3,8.444527972817665
3077,22,110,115,3,8.421566827197536
4809,49,245,250,3,8.421566827197536
4808,49,245,250,3,8.41983961811187
1812,9,45,50,3,8.418111696572613
1942,10,50,55,3,8.418111696572613
3158,23,115,120,3,8.417535564425567
1811,9,45,50,3,8.415806693171689
724,3,15,20,3,8.414077109807659
1174,5,25,30,3,8.4106158073391
720,3,15,20,3,8.410038725872392
6673,89,445,450,3,8.408306532682646
1530,7,35,40,3,8.40715165817652
249,1,5,10,3,8.406574102344454
2899,20,100,105,3,8.405418516457933
712,3,15,20,3,8.404840723514672
2816,19,95,100,3,8.404840486457603
1154,5,25,30,3,8.401371595487852
2642,17,85,90,3,8.3990575796041
1510,7,35,40,3,8.397321120049135
1141,5,25,30,3,8.393846069456343
2037,11,55,60,3,8.392687166769385
1139,5,25,30,3,8.391527790643469
2152,12,60,65,3,8.390948102580513
2550,16,80,85,3,8.387467844318305
687,3,15,20,3,8.385726650553378
2726,18,90,95,3,8.385726650553378
7391,108,540,545,3,8.383984510747222
231,1,5,10,3,8.383403876294826
4745,48,240,245,3,8.381079919769999
2978,21,105,110,3,8.380498576047215
2026,11,55,60,3,8.378754781276328
3532,28,140,145,3,8.378754781271567
226,1,5,10,3,8.377591621187847
1120,5,25,30,3,8.373518434551322
668,3,15,20,3,8.371189043527252
1897,10,50,55,3,8.370023993827605
2138,12,60,65,3,8.370023993827605
1306,6,30,35,3,8.367692714075055
215,1,5,10,3,8.367109717111312
2886,20,100,105,3,8.367109717111312
216,1,5,10,3,8.366526720147569
1768,9,45,50,3,8.365360254259775
2540,16,80,85,3,8.364776785397183
2438,15,75,80,3,8.364776785382919
2247,13,65,70,3,8.362442909955961
3384,26,130,135,3,8.361275500440215
7005,98,490,495,3,8.361275500435461
401,2,10,15,3,8.361275264614006
1095,5,25,30,3,8.3601076192673
2437,15,75,80,3,8.359523442901827
1636,8,40,45,3,8.358939502305867
394,2,10,15,3,8.356602325364424
1089,5,25,30,3,8.356602325364424
1632,8,40,45,3,8.356602325364424
1288,6,30,35,3,8.355433265471913
392,2,10,15,3,8.355433265467163
189,1,5,10,3,8.353094203054685
624,3,15,20,3,8.353094203049938
3804,32,160,165,3,8.353094203049938
48,0,0,5,3,8.352509319628588
621,3,15,20,3,8.35192420061535
862,4,20,25,3,8.349583253516718
857,4,20,25,3,8.34606947794896
175,1,5,10,3,8.344311530780523
364,2,10,15,3,8.34313917373768
367,2,10,15,3,8.34313917373768
609,3,15,20,3,8.34313917373768
607,3,15,20,3,8.341966346074539
1066,5,25,30,3,8.341966346074539
168,1,5,10,3,8.341380049880646
10470,193,965,970,3,8.338446451589034
590,3,15,20,3,8.336098444013409
842,4,20,25,3,8.33551120696875
29,0,0,5,3,8.33551120696401
2326,14,70,75,3,8.33492396991935
586,3,15,20,3,8.332573846349357
1463,7,35,40,3,8.33139819702628
1461,7,35,40,3,8.326693250225258
2006,11,55,60,3,8.326693250225258
1049,5,25,30,3,8.324927544571242
822,4,20,25,3,8.32257201813359
820,4,20,25,3,8.320804903775116
2432,15,75,80,3,8.320804669091945
1043,5,25,30,3,8.320215552721212
1620,8,40,45,3,8.320215552721212
2530,16,80,85,3,8.318447264916177
321,2,10,15,3,8.318447264911448
1038,5,25,30,3,8.317267858923982
1040,5,25,30,3,8.317267858923982
2320,14,70,75,3,8.31431852300414
1029,5,25,30,3,8.309004512625696
1240,6,30,35,3,8.307231769477838
1871,10,50,55,3,8.307231769477838
8610,140,700,705,3,8.306640776987132
14,0,0,5,3,8.30664077698241
3992,35,175,180,3,8.306049550203616
2228,13,65,70,3,8.305458323415378
1444,7,35,40,3,8.304866862382308
1443,7,35,40,3,8.304275635603512
8339,134,670,675,3,8.304275635603512
788,4,20,25,3,8.303684174579882
1437,7,35,40,3,8.300725698531725
2794,19,95,100,3,8.300133769180448
2310,14,70,75,3,8.299541839815017
2797,19,95,100,3,8.2995418398103
1990,11,55,60,3,8.297765349462425
535,3,15,20,3,8.295395525505771
1987,11,55,60,3,8.294802894027445
134,1,5,10,3,8.29480289402273
1863,10,50,55,3,8.294210262539687
1862,10,50,55,3,8.294210262534973
6662,89,445,450,3,8.293617397114618
3719,31,155,160,3,8.292431666264484
3040,22,110,115,3,8.29243166625977
3202,24,120,125,3,8.291245467635164
1979,11,55,60,3,8.29124546763045
2211,13,65,70,3,8.29124546763045
4566,45,225,230,3,8.289465702016868
3578,29,145,150,3,8.28827880191331
2783,19,95,100,3,8.28768523497099
2299,14,70,75,3,8.28709166802396
2604,17,85,90,3,8.287091434274386
2403,15,75,80,3,8.285310265962407
4959,52,260,265,3,8.285310032280705
8,0,0,5,3,8.284122197215218
305,2,10,15,3,8.282339626813373
3278,25,125,130,3,8.281150857194405
524,3,15,20,3,8.28055635558956
2775,19,95,100,3,8.279961853984714
2681,18,90,95,3,8.279961853980009
2863,20,100,105,3,8.279961853980009
1422,7,35,40,3,8.278772383698458
5911,71,355,360,3,8.277582679921647
3192,24,120,125,3,8.27639274266369
3188,24,120,125,3,8.274607136453678
5869,70,350,355,3,8.274011700995882
3110,23,115,120,3,8.271629492484543
3502,28,140,145,3,8.271629492484543
3778,32,160,165,3,8.271033823693722
5821,69,345,350,3,8.27043792161291
3915,34,170,175,3,8.269246117451287
4783,49,245,250,3,8.26805384680614
4953,52,260,265,3,8.267457478310961
3775,32,160,165,3,8.26626497448146
4444,43,215,220,3,8.265072004330442
3907,34,170,175,3,8.259102492100308
4096,37,185,190,3,8.257310123992848
4832,50,250,255,3,8.257310123988153
519,3,15,20,3,8.254919057786466
3180,24,120,125,3,8.253125059653671
4220,39,195,200,3,8.252527060266665
4221,39,195,200,3,8.251928828084974
11104,212,1060,1065,3,8.24773887579508
13926,349,1745,1750,3,8.239947899738802
1416,7,35,40,3,8.239348039505357
298,2,10,15,3,8.236947901444145
1720,9,45,50,3,8.235747251574637
5032,54,270,275,3,8.231542886700549
5562,64,320,325,3,8.229739821885506
988,4,20,25,2,5.671155887057051
984,4,20,25,2,5.65192012765857
112,0,0,5,2,5.650216272045685
2195,12,60,65,2,5.650216272045685
2289,13,65,70,2,5.650216272045685
1207,5,25,30,2,5.649648001422628
3176,23,115,120,2,5.6473739629923205
4765,48,240,245,2,5.6473739629923205
6223,77,385,390,2,5.646805214413959
4081,36,180,185,2,5.646236226928075
1964,10,50,55,2,5.645098013121784
3413,26,130,135,2,5.645098013121784
979,4,20,25,2,5.644528786782121
2673,17,85,90,2,5.644528786782121
6268,78,390,395,2,5.644528786782121
1838,9,45,50,2,5.6439593216415656
5357,59,295,300,2,5.643959321631941
2479,15,75,80,2,5.643389856496197
1398,6,30,35,2,5.643389856491385
1566,7,35,40,2,5.643389856491385
2082,11,55,60,2,5.643389856491385
2388,14,70,75,2,5.643389856491385
2079,11,55,60,2,5.642250448679231
107,0,0,5,2,5.64168050606707
2386,14,70,75,2,5.641110563445288
4322,40,200,205,2,5.641110563445288
504,2,10,15,2,5.639399780981934
4210,38,190,195,2,5.638829361086929
1200,5,25,30,2,5.638258702627843
5139,55,275,280,2,5.637688044159141
8160,129,645,650,2,5.637688044159141
3627,29,145,150,2,5.6371171471805415
502,2,10,15,2,5.635975114731798
10847,203,1015,1020,2,5.635975114731798
5848,69,345,350,2,5.63368961928221
1956,10,50,55,2,5.631402217021024
4477,43,215,220,2,5.631402217011421
278,1,5,10,2,5.630830128160158
4015,35,175,180,2,5.630830128160158
2575,16,80,85,2,5.6302578010830135
3009,21,105,110,2,5.6296854739962665
5894,70,350,355,2,5.629112908725587
1192,5,25,30,2,5.628540343464507
6373,81,405,410,2,5.628540343464507
276,1,5,10,2,5.627394736677165
1698,8,40,45,2,5.627394736672367
6372,81,405,410,2,5.627394736672367
7822,120,600,605,2,5.627394736672367
490,2,10,15,2,5.626821695198096
4136,37,185,190,2,5.6262486537142316
1191,5,25,30,2,5.6256753742041505
272,1,5,10,2,5.625102094684477
965,4,20,25,2,5.625102094684477
4647,46,230,235,2,5.625102094684477
7426,109,545,550,2,5.6245285771761875
487,2,10,15,2,5.623955059682284
2378,14,70,75,2,5.623955059677488
5936,71,355,360,2,5.623381304243916
3166,23,115,120,2,5.622807548800754
485,2,10,15,2,5.622233555475566
4077,36,180,185,2,5.622233555475566
3002,21,105,110,2,5.622233555465979
2835,19,95,100,2,5.62165956214079
3088,22,110,115,2,5.62165956214079
7050,99,495,500,2,5.621085330964212
4135,37,185,190,2,5.62051109979722
4262,39,195,200,2,5.62051109979722
5797,68,340,345,2,5.62051109979722
6903,95,475,480,2,5.62051109979722
9206,156,780,785,2,5.619936630829964
482,2,10,15,2,5.619362161872291
735,3,15,20,2,5.619362161872291
3546,28,140,145,2,5.619362161872291
4200,38,190,195,2,5.619362161872291
2375,14,70,75,2,5.618787455169818
2464,15,75,80,2,5.618787455160237
1188,5,25,30,2,5.618212748457763
1375,6,30,35,2,5.618212748457763
1550,7,35,40,2,5.618212748457763
1819,9,45,50,2,5.618212748457763
2372,14,70,75,2,5.617637804061613
731,3,15,20,2,5.617062859655883
1547,7,35,40,2,5.617062859655883
2180,12,60,65,2,5.617062859655883
2909,20,100,105,2,5.617062859655883
3679,30,150,155,2,5.617062859655883
3403,26,130,135,2,5.6159124955557855
4642,46,230,235,2,5.6159124955557855
957,4,20,25,2,5.6153370759138515
2999,21,105,110,2,5.615337075904276
4315,40,200,205,2,5.614761656267129
1543,7,35,40,2,5.614185999073545
9273,158,790,795,2,5.614185999073545
2370,14,70,75,2,5.613610341875173
2830,19,95,100,2,5.613610341875173
2997,21,105,110,2,5.613610341875173
4068,36,180,185,2,5.613610341875173
3822,32,160,165,2,5.6130344471814615
4806,49,245,250,2,5.6130344471814615
9062,152,760,765,2,5.612458552478179
1180,5,25,30,2,5.611882420335917
11370,220,1100,1105,2,5.611882420335917
471,2,10,15,2,5.611306288184085
3890,33,165,170,2,5.610153549082037
6162,76,380,385,2,5.609000335269032
12927,283,1415,1420,2,5.609000335269032
1939,10,50,55,2,5.608423491064268
467,2,10,15,2,5.608423491054705
1366,6,30,35,2,5.608423491054705
258,1,5,10,2,5.60784664684994
5400,60,300,305,2,5.60784664684994
12274,254,1270,1275,2,5.607269565388011
13691,329,1645,1650,2,5.60726956537845
2057,11,55,60,2,5.606692483916521
7048,99,495,500,2,5.606692483916521
11547,226,1130,1135,2,5.606692483916521
464,2,10,15,2,5.606115165247239
717,3,15,20,2,5.60611516523768
1934,10,50,55,2,5.605537846573178
2056,11,55,60,2,5.605537846573178
465,2,10,15,2,5.6055378465683985
719,3,15,20,2,5.6055378465683985
1170,5,25,30,2,5.6055378465683985
8027,126,630,635,2,5.6055378465683985
2361,14,70,75,2,5.604960290736333
3152,23,115,120,2,5.604960290736333
1529,7,35,40,2,5.604960290726775
2820,19,95,100,2,5.604960290726775
7817,120,600,605,2,5.604960290726775
1359,6,30,35,2,5.60438273489471
6408,82,410,415,2,5.603804941956227
6793,92,460,465,2,5.603804941956227
2898,20,100,105,2,5.603804941946672
4589,45,225,230,2,5.603804941946672
460,2,10,15,2,5.603227149008189
2164,12,60,65,2,5.603227149008189
2558,16,80,85,2,5.603227149008189
71,0,0,5,2,5.602649119007859
457,2,10,15,2,5.602649118998305
710,3,15,20,2,5.602071088997974
1355,6,30,35,2,5.602071088997974
2450,15,75,80,2,5.602071088997974
4750,48,240,245,2,5.6014928219747455
6406,82,410,415,2,5.6009145549658435
705,3,15,20,2,5.600914554961069
1354,6,30,35,2,5.600914554961069
9059,152,760,765,2,5.600914554961069
455,2,10,15,2,5.600336050986478
703,3,15,20,2,5.600336050986478
1668,8,40,45,2,5.600336050976928
1349,6,30,35,2,5.599757547002339
1351,6,30,35,2,5.599757547002339
1152,5,25,30,2,5.599178806110093
1665,8,40,45,2,5.599178806110093
12129,248,1240,1245,2,5.599178806110093
1151,5,25,30,2,5.5986000652130725
8538,138,690,695,2,5.5986000652082994
1149,5,25,30,2,5.598021087442598
10733,200,1000,1005,2,5.598021087442598
1664,8,40,45,2,5.597442109686443
8386,135,675,680,2,5.597442109686443
66,0,0,5,2,5.596862895116191
925,4,20,25,2,5.596862895116191
6160,76,380,385,2,5.596862895116191
447,2,10,15,2,5.596283680536394
2039,11,55,60,2,5.596283680536394
2154,12,60,65,2,5.596283680536394
12252,253,1265,1270,2,5.596283680536394
2153,12,60,65,2,5.5957042291953005
2350,14,70,75,2,5.59570422918576
2894,20,100,105,2,5.59570422918576
10163,184,920,925,2,5.59570422918576
239,1,5,10,2,5.595124777844666
1788,9,45,50,2,5.595124777844666
2982,21,105,110,2,5.595124777844666
11432,222,1110,1115,2,5.595124777844666
62,0,0,5,2,5.594545089786479
446,2,10,15,2,5.594545089776939
2447,15,75,80,2,5.593965401723521
237,1,5,10,2,5.5939654017187515
1338,6,30,35,2,5.5939654017187515
2264,13,65,70,2,5.5939654017187515
1784,9,45,50,2,5.59338547699066
2552,16,80,85,2,5.592805552257798
441,2,10,15,2,5.592805552253029
9022,151,755,760,2,5.592805552253029
1332,6,30,35,2,5.59222539089531
14183,378,1890,1895,2,5.59222539089531
918,4,20,25,2,5.591645229547126
1334,6,30,35,2,5.591645229547126
2259,13,65,70,2,5.591064831628662
8944,149,745,750,2,5.591064831628662
685,3,15,20,2,5.591064831619128
9986,179,895,900,2,5.59048443370543
2031,11,55,60,2,5.590484433700663
10191,185,925,930,2,5.590484433700663
5838,69,345,350,2,5.589903799257799
4366,41,205,210,2,5.589323164805403
5237,57,285,290,2,5.589323164805403
7392,108,540,545,2,5.589323164805403
1909,10,50,55,2,5.588742293894507
2812,19,95,100,2,5.588742293894507
1130,5,25,30,2,5.588742293884977
1781,9,45,50,2,5.588742293884977
9501,165,825,830,2,5.588742293884977
683,3,15,20,2,5.588161422974079
1327,6,30,35,2,5.588161422974079
2029,11,55,60,2,5.588161422974079
2892,20,100,105,2,5.588161422974079
5551,63,315,320,2,5.588161422974079
1325,6,30,35,2,5.587580315634474
9201,156,780,785,2,5.587580315634474
1780,9,45,50,2,5.586999208285341
3305,25,125,130,2,5.586999208285341
1128,5,25,30,2,5.586417864572082
2725,18,90,95,2,5.586417864572082
915,4,20,25,2,5.586417864562557
1498,7,35,40,2,5.586417864562557
1901,10,50,55,2,5.585836520854061
678,3,15,20,2,5.585836520849298
3225,24,120,125,2,5.585836520849298
4801,49,245,250,2,5.585836520849298
1772,9,45,50,2,5.5852549408122005
6600,87,435,440,2,5.5852549408122005
429,2,10,15,2,5.585254940802676
1899,10,50,55,2,5.585254940802676
677,3,15,20,2,5.584673360765578
1773,9,45,50,2,5.584673360765578
1900,10,50,55,2,5.584673360765578
3604,29,145,150,2,5.584673360765578
4743,48,240,245,2,5.584673360765578
4744,48,240,245,2,5.584673360765578
5591,64,320,325,2,5.584091544450519
673,3,15,20,2,5.584091544440997
5653,65,325,330,2,5.584091544440997
910,4,20,25,2,5.5835097281259385
1320,6,30,35,2,5.5835097281259385
1647,8,40,45,2,5.5835097281259385
4924,51,255,260,2,5.5835097281259385
4923,51,255,260,2,5.582927675584044
4973,52,260,265,2,5.582927675574523
12071,246,1230,1235,2,5.582927675574523
5977,72,360,365,2,5.582345623032628
8483,137,685,690,2,5.582345623032628
671,3,15,20,2,5.581763334315017
1118,5,25,30,2,5.581763334315017
2543,16,80,85,2,5.581763334315017
908,4,20,25,2,5.581763334305499
7038,99,495,500,2,5.581763334305499
1116,5,25,30,2,5.581181045587889
2977,21,105,110,2,5.581181045587889
5014,53,265,270,2,5.581181045587889
5177,56,280,285,2,5.581181045587889
7269,105,525,530,2,5.581181045587889
3303,25,125,130,2,5.580598520740445
5589,64,320,325,2,5.580598520730929
1309,6,30,35,2,5.580015995888242
424,2,10,15,2,5.580015995883484
669,3,15,20,2,5.580015995883484
1308,6,30,35,2,5.580015995883484
1486,7,35,40,2,5.580015995883484
1769,9,45,50,2,5.580015995883484
5176,56,280,285,2,5.580015995883484
9165,155,775,780,2,5.580015995883484
4970,52,260,265,2,5.579433234958639
422,2,10,15,2,5.579433234949125
14279,393,1965,1970,2,5.579433234949125
1111,5,25,30,2,5.57885047402428
13507,316,1580,1585,2,5.57885047402428
419,2,10,15,2,5.578267477065293
7114,101,505,510,2,5.578267477055781
218,1,5,10,2,5.577684480096794
1109,5,25,30,2,5.577684480096794
2631,17,85,90,2,5.577684480096794
2809,19,95,100,2,5.577684480096794
6293,79,395,400,2,5.577684480096794
214,1,5,10,2,5.57710124716003
658,3,15,20,2,5.57710124716003
901,4,20,25,2,5.57710124716003
56,0,0,5,2,5.5771012471505195
899,4,20,25,2,5.5771012471505195
2248,13,65,70,2,5.5771012471505195
13528,317,1585,1590,2,5.5771012471505195
659,3,15,20,2,5.5765180142137565
1104,5,25,30,2,5.5765180142137565
2885,20,100,105,2,5.5765180142137565
6327,80,400,405,2,5.5765180142137565
11451,223,1115,1120,2,5.5765180142137565
412,2,10,15,2,5.575934545346408
415,2,10,15,2,5.575934545346408
893,4,20,25,2,5.575934545346408
653,3,15,20,2,5.575934545336899
1101,5,25,30,2,5.575934545336899
1304,6,30,35,2,5.575934545336899
1641,8,40,45,2,5.575351076474305
410,2,10,15,2,5.575351076469551
8190,130,650,655,2,5.575351076469551
9762,173,865,870,2,5.575351076469551
1099,5,25,30,2,5.574767371718808
5885,70,350,355,2,5.574767371718808
204,1,5,10,2,5.574183666958558
650,3,15,20,2,5.574183666958558
1098,5,25,30,2,5.574183666958558
1100,5,25,30,2,5.574183666958558
882,4,20,25,2,5.57359972636735
1096,5,25,30,2,5.57359972636735
1481,7,35,40,2,5.57359972636735
648,3,15,20,2,5.573015785790397
643,3,15,20,2,5.573015785785645
1296,6,30,35,2,5.573015785785645
1479,7,35,40,2,5.573015785785645
3805,32,160,165,2,5.573015785785645
8532,138,690,695,2,5.573015785785645
880,4,20,25,2,5.572431609420171
1478,7,35,40,2,5.572431609420171
637,3,15,20,2,5.5724316094106685
1293,6,30,35,2,5.5724316094106685
2630,17,85,90,2,5.5724316094106685
7113,101,505,510,2,5.571847433045194
877,4,20,25,2,5.571263020947072
1476,7,35,40,2,5.571263020947072
3728,31,155,160,2,5.571263020947072
3996,35,175,180,2,5.571263020947072
193,1,5,10,2,5.571263020937572
876,4,20,25,2,5.571263020937572
1631,8,40,45,2,5.571263020937572
3299,25,125,130,2,5.571263020937572
8063,127,635,640,2,5.570678608839451
50,0,0,5,2,5.569509313260173
8436,136,680,685,2,5.569509313260173
10018,180,900,905,2,5.569509313260173
190,1,5,10,2,5.568924429843573
13467,313,1565,1570,2,5.568924429843573
389,2,10,15,2,5.568924429834077
188,1,5,10,2,5.5683395464174765
2537,16,80,85,2,5.5683395464174765
2629,17,85,90,2,5.5683395464174765
9016,151,755,760,2,5.5683395464174765
12980,287,1435,1440,2,5.567754427413732
387,2,10,15,2,5.567754427404238
10934,206,1030,1035,2,5.567754427404238
185,1,5,10,2,5.567169308400494
1075,5,25,30,2,5.567169308400494
1628,8,40,45,2,5.567169308400494
2014,11,55,60,2,5.567169308400494
10092,182,910,915,2,5.567169308400494
863,4,20,25,2,5.56658395385255
2330,14,70,75,2,5.56658395385255
381,2,10,15,2,5.5659985993140975
1279,6,30,35,2,5.5659985993140975
14201,381,1905,1910,2,5.565413009289438
1759,9,45,50,2,5.565413009279947
13934,349,1745,1750,2,5.565413009279947
45,0,0,5,2,5.564827419255288
615,3,15,20,2,5.564827419255288
178,1,5,10,2,5.564241593794232
